Num_expediente,Tipo_accidente
2015S002552,Vuelco (más de dos ruedas)
2015S001769,Choque contra elemento estático
2015S001769,Colisión fronto-lateral
2015S008992,Colisión lateral
2015S007809,Colisión fronto-lateral
2015S006472,Alcance
2015S007210,Colisión lateral
2015S000253,Colisión fronto-lateral
2015S005902,Colisión lateral
2015S007270,Caída (dos ruedas)
2015S006586,Colisión lateral
2015S009315,Colisión lateral
2015S000848,Colisión fronto-lateral
2015S005687,Colisión lateral
2015S003764,Colisión lateral
2015S004166,Alcance
2015S007694,Colisión fronto-lateral
2015S003944,Colisión lateral
2015S004053,Colisión lateral
2015S003535,Colisión fronto-lateral
2015S006750,Vuelco (más de dos ruedas)
2015S006304,Colisión fronto-lateral
2015S003770,Colisión fronto-lateral
2015S000819,Atropello
2015S001316,Colisión fronto-lateral
2015S001465,Colisión lateral
2015S009504,Colisión fronto-lateral
2015S001134,Alcance multiple
2015S004028,Colisión lateral
2015S008430,Colisión lateral
2015S009643,Otros
2015S000263,Colisión lateral
2015S001279,Alcance
2015S005153,Colisión lateral
2015S004534,Colisión lateral
2015S009541,Atropello
2015S000843,Alcance
2015S003460,Alcance
2015S008362,Alcance
2015S008571,Colisión lateral
2015S008896,Alcance
2015S008793,Colisión lateral
2015S002864,Colisión fronto-lateral
2015S002788,Atropello
2015S002855,Colisión fronto-lateral
2015S005223,Caída (dos ruedas)
2015S007168,Alcance
2015S002712,Atropello
2015S007838,Atropello
2015S000956,Caída (dos ruedas)
2015S006480,Colisión lateral
2015S000546,Caída (dos ruedas)
2015S007877,Alcance
2015S005380,Choque contra elemento estático
2015S004087,Caída (dos ruedas)
2015S006640,Colisión fronto-lateral
2015S008322,Colisión lateral
2015S006078,Colisión fronto-lateral
2015S002341,Colisión fronto-lateral
2015S008101,Alcance
2015S002327,Alcance
2015S005182,Alcance
2015S002975,Colisión fronto-lateral
2015S006069,Alcance
2015S005647,Atropello
2015S006725,Alcance
2015S000593,Colisión frontal
2015S002010,Colisión lateral
