Num_expediente,Tipo_vehiculo,Modelo,Marca,Color,Tipo_carnet,Antiguedad_carnet
2015S005236,Taxi,PRIUS,TOYOTA,Negro/Amarillo,BTP,42
2015S008768,Turismo,ASTRA,OPEL,Negro,B,2
2015S000171,Autobús,Desconocido,MERCEDES-BENZ,Rojo,D,25
2015S004629,Motocicleta,YP 250,YAMAHA,Blanco,A,10
2015S003019,Turismo,1007,PEUGEOT,Rojo,B,14
2015S005868,Furgoneta,JUMPY,CITROEN,Gris,B,15
2015S007963,"Camión <= 3,5 Tm",Desconocido,IVECO FIAT,Blanco,C,4
2015S000008,Turismo,ASTRA,OPEL,Negro,Desconocido,Desconocido
2015S000029,Bicicleta,Desconocido,Desconocido,Blanco,Desconocido,Desconocido
2015S007046,Ciclomotor,SPEEDFIGHT LC,PEUGEOT,Azul,AM,13
2015S001069,Turismo,MAZDA 3,MAZDA,Rojo,B,22
2015S001069,Turismo,LEON,SEAT,Blanco,B,3
2015S002330,Turismo,GRAND CHEROKEE,JEEP,Desconocido,B,34
2015S007442,Motocicleta,BURGMAN,SUZUKI,Blanco,A,29
2015S008499,Furgoneta,35S12,IVECO FIAT,Blanco,B,3
2015S009890,Motocicleta,BURGMAN,SUZUKI,Gris,B,20
2015S008705,Furgoneta,MASTER,RENAULT,Blanco,B,20
2015S009894,Motocicleta,BURGMAN,SUZUKI,Gris,B,10
2015S001484,Motocicleta,Dylan 150,HONDA,Azul,A,31
2015S009615,Motocicleta,SES 125,HONDA,Blanco,B,5
2015S006431,Turismo,C 350,MERCEDES-BENZ,Gris,B,18
2015S007195,Turismo,NUBIRA,DAEWOO,Azul,B,27
2015S003138,Turismo,PUNTO,FIAT,Blanco,B,10
2015S008427,Taxi,TOLEDO,SEAT,Amarillo,BTP,9
2015S003949,Turismo,GOLF,VOLKSWAGEN,Gris,B,15
2015S004875,Turismo,LANOS,DAEWOO,Negro,B,4
2015S000649,Turismo,ASTRA,OPEL,Gris,B,6
2015S009055,Turismo,306,PEUGEOT,Gris,B,7
2015S008463,Turismo,206,PEUGEOT,Azul,B,4
2015S006161,Furgoneta,MASTER,RENAULT,Blanco,B,16
2015S008260,Motocicleta,Sport City,APRILIA,Gris,B,2
2015S003786,Bicicleta,Desconocido,Desconocido,Rojo,Desconocido,Desconocido
2015S004068,Motocicleta,XLH 883,HARLEY DAVIDSON,Negro,A,19
2015S005277,Motocicleta,TWEET 125,PEUGEOT,Otros,B,4
2015S000669,Motocicleta,SH 125,HONDA,granate,B,27
2015S001398,Taxi,OCTAVIA,SKODA,Negro/Amarillo,B,10
2015S001398,Turismo,PANDA,FIAT,Azul,B,27
2015S005930,Motocicleta,SUPER DINK 300,KYMCO,Gris,A,10
2015S007091,"Camión <= 3,5 Tm",35C,IVECO FIAT,Desconocido,B,9
2015S004157,Motocicleta,PCX,HONDA,Gris,B,5
2015S002108,Turismo,MATIZ,DAEWOO,Verde,B,3
2015S008794,Ciclomotor,YH 50,YAMAHA,Desconocido,B,Desconocido
2015S005367,Turismo,POLO,VOLKSWAGEN,Negro,B,22
2015S000550,Turismo,ASTRA,OPEL,Gris,B,7
2015S003527,Motocicleta,VN 900,KAWASAKI,Azul,A,Desconocido
2015S005034,"Camión <= 3,5 Tm",413 CDI,MERCEDES-BENZ,Blanco,C,12
2015S004960,Turismo,SAXO,CITROEN,Gris,B,1
2015S004643,Motocicleta,SCOOPY 100,HONDA,Blanco,B,13
2015S006345,Motocicleta,SH 125,HONDA,Blanco,B,27
2015S007461,"Camión <= 3,5 Tm",Desconocido,RENAULT,Blanco,C,7
2015S000133,Motocicleta,SH 125,HONDA,Blanco,B,9
2015S000133,Motocicleta,LIBERTY 125,PIAGGIO,Rojo,B,11
2015S002815,Turismo,ASTRA,OPEL,Gris,B,4
2015S009028,Turismo,ASTRA,OPEL,Negro,B,2
2015S007247,"Camión <= 3,5 Tm",Desconocido,RENAULT,Blanco,C,21
2015S004303,Turismo,Desconocido,Desconocido,Gris,Desconocido,Desconocido
2015S007516,Turismo,POLO,VOLKSWAGEN,Rojo,B,18
2015S005607,Motocicleta,VENOX 250,KYMCO,Negro,A,28
2015S000657,Turismo,307,PEUGEOT,Plateado,Desconocido,Desconocido
2015S003115,Motocicleta,Desconocido,SUZUKI,Blanco,A2,1
2015S008832,"Camión <= 3,5 Tm",Ducato Electric,MICRO-VETT,Blanco,B,6
2015S001555,"Camión > 3,5 Tm",MH 260,IVECO FIAT,Blanco,C,7
2015S000244,Turismo,IBIZA,SEAT,granate,B,2
2015S008563,Motocicleta,SH 125,HONDA,Blanco,B,8
2015S008537,Motocicleta,XR 125,HONDA,Negro,A1,1
2015S009226,Turismo,MEGANE,RENAULT,Negro,B,10
2015S009226,Turismo,A4,AUDI,Negro,B,15
2015S006335,Turismo,106,PEUGEOT,Blanco,B,1
2015S007993,Turismo,C3,CITROEN,Negro,B,26
2015S005994,Turismo,45,ROVER,Azul,B,20
2015S006734,Turismo,LANCIA,FIAT,Negro,B,3
2015S006734,Turismo,A5,AUDI,Negro,B,9
