Número d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció tipus accident,Coordenada UTM (X),Coordenada UTM (Y),Londitud,Latitud
2017S004650    ,2,Eixample,6,la Sagrada Família,350308,València                                          ,0540 0540,Divendres,Dv,Laboral,2017,5,Maig,26,13,Matí,Caiguda interior vehicle,"431705,49","4584402,13","2,181,784","41,406,418"
2017S004650    ,2,Eixample,6,la Sagrada Família,350308,València                                          ,0540 0540,Divendres,Dv,Laboral,2017,5,Maig,26,13,Matí,Col.lisió lateral,"431705,49","4584402,13","2,181,784","41,406,418"
2017S000607    ,2,Eixample,7,la Dreta de l'Eixample,247659,ROGER DE LLÚRIA / València                        ,0168 0168,Dilluns,Dl,Laboral,2017,1,Gener,23,15,Tarda,Col.lisió lateral,"430194,01","4583186,77","2,163,849","41,395,336"
2017S002313    ,2,Eixample,7,la Dreta de l'Eixample,268003,ROGER DE LLÚRIA / Mallorca                        ,0296 0298,Dimecres,Dc,Laboral,2017,3,Març,22,22,Nit,Col.lisió lateral,"430057,33","4583166,26","2,162,212","41,395,144"
2017S009769    ,2,Eixample,7,la Dreta de l'Eixample,32700,Balmes / Provença                                 ,0112 0112,Divendres,Dv,Laboral,2017,11,Novembre,24,9,Matí,Abast,"429726,02","4582901,31","2,158,284","41,392,729"
2017S007711    ,2,Eixample,7,la Dreta de l'Eixample,32700,Balmes                                            ,0166 0166,Dilluns,Dl,Laboral,2017,9,Setembre,18,10,Matí,Abast,"429501,41","4583134,02","2,155,566","41,394,808"
2017S000236    ,2,Eixample,7,la Dreta de l'Eixample,32700,AV DIAGONAL / Pau Claris                          ,0168 0170,Dimarts,Dm,Laboral,2017,1,Gener,10,18,Tarda,Col.lisió lateral,"429481,48","4583154,34","2,155,324","41,394,986"
2017S003107    ,2,Eixample,6,la Sagrada Família,73900,Castillejos                                       ,0254B0254B,Dimarts,Dm,Laboral,2017,4,Abril,4,12,Matí,Caiguda (dues rodes),"431443,76","4584400,09","217,865","41,406,378"
2017S000508    ,2,Eixample,7,la Dreta de l'Eixample,350308,MALLORCA / Pau Claris                             ,0259 0259,Dijous,Dj,Laboral,2017,1,Gener,19,10,Matí,Xoc contra element estàtic,"430225,61","4582986,13","2,164,242","41,393,538"
2017S009291    ,2,Eixample,7,la Dreta de l'Eixample,350308,València                                          ,0275 0275,Divendres,Dv,Laboral,2017,11,Novembre,10,6,Matí,Xoc contra element estàtic,"430344,04","4583102,32","2,165,652","41,394,593"
2017S006796    ,2,Eixample,7,la Dreta de l'Eixample,350308,València                                          ,0280 0280,Diumenge,Dg,Laboral,2017,8,Agost,6,12,Matí,Caiguda (dues rodes),"430253,77","4582983,33","2,164,578","41,393,513"
2017S004781    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó / Balmes                                    ,0225 0225,Dimecres,Dc,Laboral,2017,5,Maig,31,10,Matí,Col.lisió fronto-lateral,"430024,47","4582611,70","2,161,882","41,390,143"
2017S001497    ,2,Eixample,7,la Dreta de l'Eixample,18505,PAU CLARIS                                        ,0229 0229,Dijous,Dj,Laboral,2017,2,Febrer,23,9,Matí,Abast,"430036,40","4582619,75","2,162,024","41,390,216"
2017S009738    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó                                             ,0233 0233,Dijous,Dj,Laboral,2017,11,Novembre,23,11,Matí,Col.lisió fronto-lateral,"430053,47","4582636,66","2,162,226","41,390,371"
